sn,model,shipped_date,batch_id
AKSOB00641TAK,K100,2026/1/1,1
AKSOB00642TAK,K100,2026/1/1,1
AKSOB00643TAK,K100,2026/1/1,1
AKSOB00644TAK,K100,2026/1/1,1
AKSOB00645TAK,K100,2026/1/1,1
AKSOB00646TAK,K100,2026/1/1,1
AKSOB00647TAK,K100,2026/1/1,1
AKSOB00648TAK,K100,2026/1/1,1
AKSOB00649TAK,K100,2026/1/1,1
AKSOB00650TAK,K100,2026/1/1,1
AKSOB00651TAK,K100,2026/1/1,1
AKSOB00652TAK,K100,2026/1/1,1
AKSOB00653TAK,K100,2026/1/1,1
AKSOB00654TAK,K100,2026/1/1,1
AKSOB00655TAK,K100,2026/1/1,1
AKSOB00661TAK,K100,2026/1/1,1
AKSOB00662TAK,K100,2026/1/1,1
AKSOB00663TAK,K100,2026/1/1,1
AKSOB00664TAK,K100,2026/1/1,1
AKSOB00665TAK,K100,2026/1/1,1
AKSOB00666TAK,K100,2026/1/1,1
AKSOB00667TAK,K100,2026/1/1,1
AKSOB00668TAK,K100,2026/1/1,1
AKSOB00669TAK,K100,2026/1/1,1
AKSOB00670TAK,K100,2026/1/1,1
AKSOB00671TAK,K100,2026/1/1,1
AKSOB00672TAK,K100,2026/1/1,1
AKSOB00673TAK,K100,2026/1/1,1
AKSOB00674TAK,K100,2026/1/1,1
AKSOB00675TAK,K100,2026/1/1,1
AKSOB00676TAK,K100,2026/1/1,1
AKSOB00677TAK,K100,2026/1/1,1
AKSOB00678TAK,K100,2026/1/1,1
AKSOB00679TAK,K100,2026/1/1,1
AKSOB00680TAK,K100,2026/1/1,1
AKSOB00691TAK,K100,2026/1/1,1
AKSOB00692TAK,K100,2026/1/1,1
AKSOB00693TAK,K100,2026/1/1,1
AKSOB00694TAK,K100,2026/1/1,1
AKSOB00695TAK,K100,2026/1/1,1
AKSOB00706TAK,K100,2026/1/1,1
AKSOB00707TAK,K100,2026/1/1,1
AKSOB00708TAK,K100,2026/1/1,1
AKSOB00709TAK,K100,2026/1/1,1
AKSOB00710TAK,K100,2026/1/1,1
AKSOB00711TAK,K100,2026/1/1,1
AKSOB00712TAK,K100,2026/1/1,1
AKSOB00713TAK,K100,2026/1/1,1
AKSOB00714TAK,K100,2026/1/1,1
